# Pinned wire ABI through each InterfaceSpec source_version.
# Sorted: interface kind opcode name signature destructor argument-interface-list
# A dash denotes an empty signature/type list or a primitive argument type.
ext_session_lock_manager_v1 request 0 destroy - true -
ext_session_lock_manager_v1 request 1 lock n false ext_session_lock_v1
ext_session_lock_surface_v1 event 0 configure uuu false -,-,-
ext_session_lock_surface_v1 request 0 destroy - true -
ext_session_lock_surface_v1 request 1 ack_configure u false -
ext_session_lock_v1 event 0 locked - false -
ext_session_lock_v1 event 1 finished - false -
ext_session_lock_v1 request 0 destroy - true -
ext_session_lock_v1 request 1 get_lock_surface noo false ext_session_lock_surface_v1,wl_surface,wl_output
ext_session_lock_v1 request 2 unlock_and_destroy - true -
wl_buffer event 0 release - false -
wl_buffer request 0 destroy - true -
wl_callback event 0 done u true -
wl_compositor request 0 create_surface n false wl_surface
wl_compositor request 1 create_region n false wl_region
wl_data_device event 0 data_offer n false wl_data_offer
wl_data_device event 1 enter uoff?o false -,wl_surface,-,-,wl_data_offer
wl_data_device event 2 leave - false -
wl_data_device event 3 motion uff false -,-,-
wl_data_device event 4 drop - false -
wl_data_device event 5 selection ?o false wl_data_offer
wl_data_device request 0 start_drag ?oo?ou false wl_data_source,wl_surface,wl_surface,-
wl_data_device request 1 set_selection ?ou false wl_data_source,-
wl_data_device request 2 release 2 true -
wl_data_device_manager request 0 create_data_source n false wl_data_source
wl_data_device_manager request 1 get_data_device no false wl_data_device,wl_seat
wl_data_offer event 0 offer s false -
wl_data_offer event 1 source_actions 3u false -
wl_data_offer event 2 action 3u false -
wl_data_offer request 0 accept u?s false -,-
wl_data_offer request 1 receive sh false -,-
wl_data_offer request 2 destroy - true -
wl_data_offer request 3 finish 3 false -
wl_data_offer request 4 set_actions 3uu false -,-
wl_data_source event 0 target ?s false -
wl_data_source event 1 send sh false -,-
wl_data_source event 2 cancelled - false -
wl_data_source event 3 dnd_drop_performed 3 false -
wl_data_source event 4 dnd_finished 3 false -
wl_data_source event 5 action 3u false -
wl_data_source request 0 offer s false -
wl_data_source request 1 destroy - true -
wl_data_source request 2 set_actions 3u false -
wl_display event 0 error ous false -,-,-
